CPT,80053
CPT,85025
CPT,87635
CPT,82465
CPT,84478
CPT,83718
CPT,84443
CPT,36415
CPT,82570
CPT,83036
CPT,U0003
CPT,82306
CPT,81001
CPT,87088
CPT,84439
CPT,87086
CPT,82607
CPT,82310
CPT,87491
CPT,87591
CPT,84153
CPT,82947
CPT,84520
CPT,82043
CPT,80048
CPT,84460
CPT,84155
CPT,84450
CPT,85027
CPT,82247
CPT,84075
CPT,82728
CPT,83540
CPT,86803
CPT,87389
CPT,83550
CPT,82746
CPT,86003
CPT,86592
CPT,85652
CPT,86140
CPT,87340
CPT,82565
CPT,80051
CPT,87624
CPT,84550
CPT,84403
CPT,88175
CPT,80076
CPT,83735
CPT,84132
CPT,84295
CPT,84481
CPT,82435
CPT,82374
CPT,82040
CPT,U0005
CPT,85610
CPT,87621
CPT,84436
CPT,86235
CPT,81003
CPT,82950
CPT,86038
CPT,87070
CPT,87481
CPT,82784
CPT,87799
CPT,87661
CPT,87798
CPT,83970
CPT,82670
CPT,83520
CPT,84156
CPT,82550
CPT,84479
CPT,86376
CPT,83001
CPT,84100
CPT,87081
CPT,84402
CPT,86431
CPT,86480
CPT,83516
CPT,84480
CPT,85730
CPT,82274
CPT,84702
CPT,86762
CPT,83002
CPT,80069
CPT,86901
CPT,86900
CPT,82652
CPT,86800
CPT,86705
CPT,86704
CPT,86709
CPT,86769
CPT,84144
MS-DRG,807
MS-DRG,788
MS-DRG,795
MS-DRG,794
MS-DRG,177
MS-DRG,871
MS-DRG,787
MS-DRG,806
MS-DRG,872
MS-DRG,392
MS-DRG,743
MS-DRG,621
MS-DRG,805
MS-DRG,470
MS-DRG,291
MS-DRG,786
MS-DRG,785
MS-DRG,793
MS-DRG,768
MS-DRG,603
MS-DRG,247
MS-DRG,065
MS-DRG,854
MS-DRG,176
MS-DRG,853
MS-DRG,189
MS-DRG,742
MS-DRG,683
MS-DRG,057
MS-DRG,378
MS-DRG,638
MS-DRG,455
MS-DRG,418
MS-DRG,330
MS-DRG,064
MS-DRG,101
MS-DRG,327
MS-DRG,792
MS-DRG,310
MS-DRG,390
MS-DRG,812
MS-DRG,331
MS-DRG,460
MS-DRG,863
MS-DRG,066
MS-DRG,193
MS-DRG,419
MS-DRG,641
MS-DRG,194
MS-DRG,784
MS-DRG,790
MS-DRG,690
MS-DRG,472
MS-DRG,637
MS-DRG,917
MS-DRG,203
MS-DRG,660
MS-DRG,561
MS-DRG,202
MS-DRG,280
MS-DRG,208
MS-DRG,833
MS-DRG,920
MS-DRG,454
MS-DRG,178
MS-DRG,056
MS-DRG,661
MS-DRG,918
MS-DRG,560
MS-DRG,620
MS-DRG,440
MS-DRG,776
MS-DRG,682
MS-DRG,391
MS-DRG,287
MS-DRG,003
MS-DRG,832
MS-DRG,286
MS-DRG,831
MS-DRG,791
MS-DRG,494
MS-DRG,103
MS-DRG,386
MS-DRG,312
MS-DRG,694
MS-DRG,309
MS-DRG,439
MS-DRG,093
MS-DRG,558
MS-DRG,552
MS-DRG,389
MS-DRG,811
MS-DRG,639
MS-DRG,313
MS-DRG,699
MS-DRG,640
MS-DRG,343
MS-DRG,091
MS-DRG,026
MS-DRG,305
